source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20121026_Renvoise_total_Galact2607	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121026_Renvoise_total_Galact2607	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121026_Renvoise_total_Galact2607.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20121026_Renvoise_total_Galact2607.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121026_Renvoise_total_Galact0310	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121026_Renvoise_total_Galact0310	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121026_Renvoise_total_Galact0310.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20121026_Renvoise_total_Galact0310.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121026_Renvoise_total_Glucose2308	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121026_Renvoise_total_Glucose2308	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121026_Renvoise_total_Glucose2308.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20121026_Renvoise_total_Glucose2308.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121026_Renvoise_total_Glucose0310	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121026_Renvoise_total_Glucose0310	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121026_Renvoise_total_Glucose0310.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20121026_Renvoise_total_Glucose0310.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120529_Renvoise_Total_Galact09	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120529_Renvoise_Total_Galact09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120529_Renvoise_Total_Galact09.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20120529_Renvoise_Total_Galact09.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120529_Renvoise_Total_Lactate23	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120529_Renvoise_Total_Lactate23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120529_Renvoise_Total_Lactate23.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20120529_Renvoise_Total_Lactate23.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120529_Renvoise_Total_Glicose23	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120529_Renvoise_Total_Glicose23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120529_Renvoise_Total_Glicose23.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20120529_Renvoise_Total_Glicose23.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120529_Renvoise_Total_Lactate29	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120529_Renvoise_Total_Lactate29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120529_Renvoise_Total_Lactate29.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20120529_Renvoise_Total_Lactate29.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120529_Renvoise_Total_Galact29	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120529_Renvoise_Total_Galact29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120529_Renvoise_Total_Galact29.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20120529_Renvoise_Total_Galact29.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120529_Renvoise_Total_Glucose09	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120529_Renvoise_Total_Glucose09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120529_Renvoise_Total_Glucose09.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD000735/20120529_Renvoise_Total_Glucose09.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
