source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_5	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_1_6	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_1_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_2	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_4	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_1_5_K1_DMSO_Th	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_1_5_K1_DMSO_Th	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_1_5_K1_DMSO_Th.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F3_1_01	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F3_1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F3_1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_5_2_K5_Inh_Th_Phospho	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_5_2_K5_Inh_Th_Phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_5_2_K5_Inh_Th_Phospho.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_1_7	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_1_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F3_2_02	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F3_2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F3_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_3_5_K3_DMSO_Th	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_3_5_K3_DMSO_Th	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_3_5_K3_DMSO_Th.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_4_5_K4_DMSO_Th_Phospho	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_4_5_K4_DMSO_Th_Phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_4_5_K4_DMSO_Th_Phospho.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_6	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
