source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[compound]	characteristics[concentration of compound]	characteristics[enrichment process]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[collision energy]	comment[depletion]	comment[tool metadata]
EshC rep2	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	2	QE33640AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
Esh TRAIL rep5	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	5	QE33642AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
Esh TRAIL rep2	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	2	QE33646AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
Esh TRAIL rep1	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run4	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	1	QE33656AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
EshC rep4	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run5	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	4	QE33662AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
EshC rep1	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run6	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	1	QE33664AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
Esh TRAIL rep4	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run7	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	4	QE33672AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
EshC rep5	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run8	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	5	QE33676AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
Esh TRAIL rep3	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run9	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	3	QE33682AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
EshC rep3	Mus musculus	not applicable	not applicable	not applicable	not available	not available	not available	not available	1	not available			not available	1	run10	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	collision-induced dissociation	5 ppm	20 ppm	1	3	QE33684AUH	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	27 NCE	not depletion	lesSDRF v0.1.0
