source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[physiological status]
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	1	1	H0730-Bat321-L1-1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-1.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	2	1	H0730-Bat321-L1-2.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-2.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	3	1	H0730-Bat321-L1-3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-3.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	4	1	H0730-Bat321-L1-4.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-4.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	5	1	H0730-Bat321-L1-5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-5.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	6	1	H0730-Bat321-L1-6.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-6.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	7	1	H0730-Bat321-L1-7.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-7.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	8	1	H0730-Bat321-L1-8.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-8.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	9	1	H0730-Bat321-L1-9.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-9.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L1	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	1	run_L1_F10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	10	1	H0730-Bat321-L1-10.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L1-10.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
Bat321_L2	Myotis pilosus	liver	not applicable	normal	adult	male	not available	organism part	2	run_L2_F1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	20 ppm	0.8 Da	1	1	H0730-Bat321-L2-1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD016109/H0730-Bat321-L2-1.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available
