source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
SRHOPTRY_190321_control	Toxoplasma gondii ME49	not applicable	not applicable	not applicable	1	C	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF-X	NT=label free sample;AC=MS:1002038	not applicable	1	1	SRHOPTRY_190321_HFX_A1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
SRHOPTRY_190321_control	Toxoplasma gondii ME49	not applicable	not applicable	not applicable	1	C_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF-X	NT=label free sample;AC=MS:1002038	not applicable	2	1	SRHOPTRY_190321_HFX_A2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
SRHOPTRY_190321_ND10	Toxoplasma gondii ME49	not applicable	not applicable	not applicable	1	ND10	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF-X	NT=label free sample;AC=MS:1002038	not applicable	1	1	SRHOPTRY_190321_HFX_D1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
SRHOPTRY_190321_ND10	Toxoplasma gondii ME49	not applicable	not applicable	not applicable	1	ND10_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF-X	NT=label free sample;AC=MS:1002038	not applicable	2	1	SRHOPTRY_190321_HFX_D2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
