source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[sampling time]	characteristics[sample type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]	factor value[genotype]	factor value[sampling time]
d30-iN-GRN-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	30 day	study sample	cell	3	run aa03650_yh_fk_132_GRN_iN_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03650_yh_fk_132_GRN_iN_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GRN	30 day
d30-iDA-SMPD1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	30 day	study sample	cell	1	run aa03643_yh_fk_132_SMPD1_DA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03643_yh_fk_132_SMPD1_DA_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	SMPD1	30 day
d30-iDA-GBA1-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	30 day	study sample	cell	3	run aa03628_yh_fk_132_GBA_DA_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03628_yh_fk_132_GBA_DA_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GBA1	30 day
d30-iN-ASAH1-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	30 day	study sample	cell	3	run aa03662_yh_fk_132_ASAH1_iN_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03662_yh_fk_132_ASAH1_iN_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ASAH1	30 day
d30-pool-1	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	30 day	quality control sample	cell	1	run aa03624_yh_fk_132_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03624_yh_fk_132_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	30 day
d30-iDA-GRN-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	30 day	study sample	cell	1	run aa03651_yh_fk_132_GRN_DA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03651_yh_fk_132_GRN_DA_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GRN	30 day
d30-iDA-GRN-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	30 day	study sample	cell	2	run aa03642_yh_fk_132_GRN_DA_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03642_yh_fk_132_GRN_DA_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GRN	30 day
d30-iN-wildtype-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	30 day	study sample	cell	1	run aa03637_yh_fk_132_ctrl_iN_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03637_yh_fk_132_ctrl_iN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	wild type	30 day
d30-pool-2	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	30 day	quality control sample	cell	1	run aa03647_yh_fk_132_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03647_yh_fk_132_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	30 day
d30-iN-SMPD1-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	30 day	study sample	cell	3	run aa03629_yh_fk_132_SMPD1_iN_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03629_yh_fk_132_SMPD1_iN_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	SMPD1	30 day
