source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[collection date]	characteristics[water body type]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[metagenome accession]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
Lab_127_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_127_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_127_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_127_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_127_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_127_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_127_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_127_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_127_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_127_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_127_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_127_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_135_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_135_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_135_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_135_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_135_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_135_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_135_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_135_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_135_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_135_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_135_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_135_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_209_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_209_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_209_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_209_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_209_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_209_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_209_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_209_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_209_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_209_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_209_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_209_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_438_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_438_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_438_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_438_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
