source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140130_o1_15_so130116_ot_LD-R3-zt08	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_15_so130116_ot_LD-R3-zt08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_15_so130116_ot_LD-R3-zt08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_15_so130116_ot_LD-R3-zt08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_14_so130116_ot_LD-R3-zt12	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_14_so130116_ot_LD-R3-zt12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_14_so130116_ot_LD-R3-zt12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_14_so130116_ot_LD-R3-zt12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_26_so130116_ot_LD-R5-zt00	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_26_so130116_ot_LD-R5-zt00	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_26_so130116_ot_LD-R5-zt00.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_26_so130116_ot_LD-R5-zt00.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_22_so130116_ot_LD-R4-zt20	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_22_so130116_ot_LD-R4-zt20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_22_so130116_ot_LD-R4-zt20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_22_so130116_ot_LD-R4-zt20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_21_so130116_ot_LD-R4-zt16	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_21_so130116_ot_LD-R4-zt16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_21_so130116_ot_LD-R4-zt16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_21_so130116_ot_LD-R4-zt16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_25_so130116_ot_LD-R4-zt08	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_25_so130116_ot_LD-R4-zt08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_25_so130116_ot_LD-R4-zt08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_25_so130116_ot_LD-R4-zt08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_19_so130116_ot_LD-R3-zt00	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_19_so130116_ot_LD-R3-zt00	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_19_so130116_ot_LD-R3-zt00.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_19_so130116_ot_LD-R3-zt00.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_04_so130116_ot_LD-R1-zt12	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_04_so130116_ot_LD-R1-zt12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_04_so130116_ot_LD-R1-zt12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_04_so130116_ot_LD-R1-zt12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_12_so130116_ot_LD-R2-zt12	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_12_so130116_ot_LD-R2-zt12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_12_so130116_ot_LD-R2-zt12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_12_so130116_ot_LD-R2-zt12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
140130_o1_17_so130116_ot_LD-R3-zt20	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	140130_o1_17_so130116_ot_LD-R3-zt20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140130_o1_17_so130116_ot_LD-R3-zt20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001735/140130_o1_17_so130116_ot_LD-R3-zt20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
