source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07927_BMDC_Fraction_9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	9	1	qExHF01_07927_BMDC_Fraction_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07928_BMDC_Fraction_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	10	1	qExHF01_07928_BMDC_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07929_BMDC_Fraction_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	11	1	qExHF01_07929_BMDC_Fraction_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07930_BMDC_Fraction_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	12	1	qExHF01_07930_BMDC_Fraction_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07932_BMDM_Fraction_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	1	1	qExHF01_07932_BMDM_Fraction_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07933_BMDM_Fraction_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	2	1	qExHF01_07933_BMDM_Fraction_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07934_BMDM_Fraction_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	3	1	qExHF01_07934_BMDM_Fraction_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07935_BMDM_Fraction_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	4	1	qExHF01_07935_BMDM_Fraction_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07936_BMDM_Fraction_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	5	1	qExHF01_07936_BMDM_Fraction_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07937_BMDM_Fraction_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	6	1	qExHF01_07937_BMDM_Fraction_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07938_BMDM_Fraction_7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	7	1	qExHF01_07938_BMDM_Fraction_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07939_BMDM_Fraction_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	8	1	qExHF01_07939_BMDM_Fraction_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07940_BMDM_Fraction_9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	9	1	qExHF01_07940_BMDM_Fraction_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07941_BMDM_Fraction_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	10	1	qExHF01_07941_BMDM_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07942_BMDM_Fraction_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	11	1	qExHF01_07942_BMDM_Fraction_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
BMDM	Mus musculus	bone marrow	macrophage	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07943_BMDM_Fraction_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	12	1	qExHF01_07943_BMDM_Fraction_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	macrophage
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08065_CD4_Fraction_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	1	1	qExHF01_08065_CD4_Fraction_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
