source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
2018_March_5_UWPRQE_HatchMicro_27	2018_March_5_UWPRQE_HatchMicro_27	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_27.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_08	2018_March_5_UWPRQE_HatchMicro_08	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_08.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_30	2018_March_5_UWPRQE_HatchMicro_30	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_30.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_21	2018_March_5_UWPRQE_HatchMicro_21	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_18	2018_March_5_UWPRQE_HatchMicro_18	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_32	2018_March_5_UWPRQE_HatchMicro_32	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_32.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_20	2018_March_5_UWPRQE_HatchMicro_20	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_33	2018_March_5_UWPRQE_HatchMicro_33	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_33.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_22	2018_March_5_UWPRQE_HatchMicro_22	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
2018_March_5_UWPRQE_HatchMicro_03	2018_March_5_UWPRQE_HatchMicro_03	marine metagenome	not applicable	not applicable	not applicable	seawater	seawater	Washington	Washington_state_shellfish_hatchery_reanalysis	1	2018_March_5_UWPRQE_HatchMicro_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2018_March_5_UWPRQE_HatchMicro_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	1
