source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[bait]
BY4741_proteome	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	yeast_proteome_SCX1	proteomic profiling by mass spectrometry	20130225_EXQ4_NiKu_SA_BY4741-SCX-1_01.raw	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	25 NCE	NT=Lys-C;AC=MS:1001309	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_proteome	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	yeast_proteome_SCX2	proteomic profiling by mass spectrometry	20130225_EXQ4_NiKu_SA_BY4741-SCX-2_01.raw	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	25 NCE	NT=Lys-C;AC=MS:1001309	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_proteome	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	yeast_proteome_SCX3	proteomic profiling by mass spectrometry	20130225_EXQ4_NiKu_SA_BY4741-SCX-3_01.raw	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	25 NCE	NT=Lys-C;AC=MS:1001309	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_proteome	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	yeast_proteome_SCX4	proteomic profiling by mass spectrometry	20130225_EXQ4_NiKu_SA_BY4741-SCX-4_01.raw	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	25 NCE	NT=Lys-C;AC=MS:1001309	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_proteome	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	yeast_proteome_SCX5	proteomic profiling by mass spectrometry	20130225_EXQ4_NiKu_SA_BY4741-SCX-5_01.raw	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	25 NCE	NT=Lys-C;AC=MS:1001309	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_proteome	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	yeast_proteome_SCX6	proteomic profiling by mass spectrometry	20130225_EXQ4_NiKu_SA_BY4741-SCX-6_01.raw	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	25 NCE	NT=Lys-C;AC=MS:1001309	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_parental_GFP-IP_rep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	control sample	1	BY4741_WT_01	proteomic profiling by mass spectrometry	20130731_Orbi2_MaHe_SA_BY4741_WT_01.RAW	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_parental_GFP-IP_rep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	control sample	2	BY4741_WT_02	proteomic profiling by mass spectrometry	20130731_Orbi2_MaHe_SA_BY4741_WT_02.RAW	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_parental_GFP-IP_rep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	control sample	3	BY4741_WT_03	proteomic profiling by mass spectrometry	20130731_Orbi2_MaHe_SA_BY4741_WT_03.RAW	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	not applicable
BY4741_EMP65-GFP_rep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	1	YER140W_TAPT1_01	proteomic profiling by mass spectrometry	20130731_Orbi2_MaHe_SA_YER140W_TAPT1_01.RAW	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	EMP65
