source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Bert_180802_P0687_MR_ER_TP_TMT8_fr1	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr2	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_Interactome_TMT8_fr1	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_Interactome_TMT8_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_Interactome_TMT8_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_Interactome_TMT8_fr3	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_Interactome_TMT8_fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_Interactome_TMT8_fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr3	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr8	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr11	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr6	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr10	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
Bert_180802_P0687_MR_ER_TP_TMT8_fr9	Rattus norvegicus	Heart	cardiac muscle cell	neonate	not available	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Bert_180802_P0687_MR_ER_TP_TMT8_fr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
