source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20220401_HF1_MaRa_SA_P0145_WT_CTR_01	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_CTR_02	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_CTR_03	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_CTR_04	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_CTR_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_HSP78_01	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_HSP78_02	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_HSP78_03	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_HSP78_04	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_HSP78_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_01	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_02	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_03	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_04	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_CTR_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_01	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_02	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_03	Saccharomyces cerevisiae	cell culture	not available	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20220401_HF1_MaRa_SA_P0145_WT_RHO0_HSP78_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
