source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[depletion method]	characteristics[depletion]	characteristics[developmental stage]	characteristics[individual]	characteristics[sex]	characteristics[timepoint]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[separation]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD041728-Sample-1	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	1	not available	post	1	assay_165_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_165_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_165_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-2	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	1	not available	pre	1	assay_165_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_165_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_165_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-3	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	1	not available	washout	1	assay_165_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_165_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_165_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-4	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	2	not available	post	2	assay_333_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_333_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_333_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-5	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	2	not available	pre	2	assay_333_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_333_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_333_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-6	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	2	not available	washout	2	assay_333_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_333_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_333_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-7	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	3	not available	post	3	assay_345_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_345_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_345_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-8	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	3	not available	pre	3	assay_354_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_354_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_354_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-9	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	3	not available	washout	3	assay_354_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_354_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_354_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-10	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	4	not available	post	4	assay_444_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_444_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_444_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
