source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
22	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
15	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
01	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
02	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
33	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
17	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
09	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
24	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
23	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
26	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
19	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
07	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
34	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
13	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
