source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
170124_CG_1_GA1_1_6777.d.zip	170124_CG_1_GA1_1_6777.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_CG_1_GA1_1_6777.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_CG_1_GA1_1_6777.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_CG_2_GA2_1_6779.d.zip	170124_CG_2_GA2_1_6779.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_CG_2_GA2_1_6779.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_CG_2_GA2_1_6779.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_CG_3_GA3_1_6781.d.zip	170124_CG_3_GA3_1_6781.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_CG_3_GA3_1_6781.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_CG_3_GA3_1_6781.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_CG_4_GA4_1_6783.d.zip	170124_CG_4_GA4_1_6783.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_CG_4_GA4_1_6783.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_CG_4_GA4_1_6783.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_CG_5_GA5_1_6785.d.zip	170124_CG_5_GA5_1_6785.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_CG_5_GA5_1_6785.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_CG_5_GA5_1_6785.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_CG_6_GA6_1_6787.d.zip	170124_CG_6_GA6_1_6787.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_CG_6_GA6_1_6787.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_CG_6_GA6_1_6787.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_GA_10_GB2_1_6796.d.zip	170124_GA_10_GB2_1_6796.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_GA_10_GB2_1_6796.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_GA_10_GB2_1_6796.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_GA_11_GB3_1_6798.d.zip	170124_GA_11_GB3_1_6798.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_GA_11_GB3_1_6798.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_GA_11_GB3_1_6798.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_GA_12_GB4_1_6800.d.zip	170124_GA_12_GB4_1_6800.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_GA_12_GB4_1_6800.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_GA_12_GB4_1_6800.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
170124_GA_7_GA7_1_6790.d.zip	170124_GA_7_GA7_1_6790.d.zip	Gallus gallus	Cecum	not applicable	not available	Integrative_multi-omics_analysis_of_dietary_fibre-induced_modulations_in_the_composition_and_function_of_chicken_caecal_microbiota	Cecum	Cecum	not available	not available	not available	not available	1	170124_GA_7_GA7_1_6790.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	not applicable	not available	1	1	170124_GA_7_GA7_1_6790.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cecum
