source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[sample fraction]	factor value[sampling site]
YGL02-central-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_01-YGL02-C-01_5p78uL_Slot1-43_1_5480	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	Decell_01-YGL02-C-01_5p78uL_Slot1-43_1_5480.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	central
YGL02-central-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_01-YGL02-C-02_3p88uL_Slot1-44_1_5481	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	Decell_01-YGL02-C-02_3p88uL_Slot1-44_1_5481.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	central
YGL02-central-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_01-YGL02-C-03_2p15uL_Slot1-45_1_5482	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	3	Decell_01-YGL02-C-03_2p15uL_Slot1-45_1_5482.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	central
YGL02-central-ECM	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run ECM_01-YGL02-C-01_3p15uL_Slot2-2_1_5495	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	ECM_01-YGL02-C-01_3p15uL_Slot2-2_1_5495.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	extracellular matrix fraction	central
YGL02-central-ECM	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run ECM_01-YGL02-C-02_2p53uL_Slot2-3_1_5496	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	ECM_01-YGL02-C-02_2p53uL_Slot2-3_1_5496.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	extracellular matrix fraction	central
YGL02-central-ECM	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run ECM_01-YGL02-C-03_2p96uL_Slot2-4_1_5497	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	3	ECM_01-YGL02-C-03_2p96uL_Slot2-4_1_5497.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	extracellular matrix fraction	central
YGL02-peripheral-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_01-YGL02-P-01_4p0uL_Slot1-37_1_5470	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	Decell_01-YGL02-P-01_4p0uL_Slot1-37_1_5470.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	peripheral
YGL02-peripheral-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_01-YGL02-P-02_3p28uL_Slot1-38_1_5474	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	Decell_01-YGL02-P-02_3p28uL_Slot1-38_1_5474.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	peripheral
YGL02-peripheral-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_01-YGL02-P-03_4p22uL_Slot1-39_1_5475	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	3	Decell_01-YGL02-P-03_4p22uL_Slot1-39_1_5475.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	peripheral
YGL02-peripheral-Decell	Homo sapiens	upper lobe of left lung	not applicable	not available	not available	not available	not available	not available	YGL-02	organism part	1	run Decell_02-YGL02-P-01_5p07uL_Slot1-40_1_5476	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	4	Decell_02-YGL02-P-01_5p07uL_Slot1-40_1_5476.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	decellularized fraction	peripheral
