source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
VIC_mix_1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W0_NM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_2	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	2	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W0_OM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_3	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	3	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W1_NM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_4	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	4	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W1_OM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_5	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	5	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W2_NM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_6	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	6	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W2_OM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_7	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	7	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W3_NM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_8	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	8	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AOV294m_W3_OM_5x_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_9	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	9	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AoV322m_W0_NM_5X_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
VIC_mix_10	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=valve interstitial cell;AC=CL:4030032	not available	VIC_mix	10	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	400 ppm	1	1	02_YI_AoV322m_W0_OM_5X_Tops_CID-IT_120min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	VIC_mix
