source name	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[label]	comment[cell line]	comment[technical replicate]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Neg_S01	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	1	run1	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_Neg_S01.raw	1	label free sample	parental cell line mESC	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Neg_S02	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	2	run2	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_Neg_S02.raw	1	label free sample	parental cell line mESC	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Neg_S03	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	3	run3	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_Neg_S03.raw	1	label free sample	parental cell line mESC	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WT_S04	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	1	run4	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_WT_S04.raw	1	label free sample	ADNP-3xFLAG-V5, cMB664	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WT_S05	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	2	run5	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_WT_S05.raw	1	label free sample	ADNP-3xFLAG-V5, cMB664	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WT_S06	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	3	run6	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_WT_S06.raw	1	label free sample	ADNP-3xFLAG-V5, cMB664	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
dN_S07	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	1	run7	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_dN_S07.raw	1	label free sample	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
dN_S08	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	2	run8	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_dN_S08.raw	1	label free sample	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
dN_S09	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	3	run9	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_dN_S09.raw	1	label free sample	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
PxVxL_S10	Mus musculus	not available	Embryonic stem cell	Cell culture	not available	1	run10	proteomic profiling by mass spectrometry	L3_241201_Vyt_4566_PxVxL_S10.raw	1	label free sample	ADNP-3xFLAG-V5, PxVxL mutant, derived from cMB664, clones 10B, 5D, 8F	1	NT=Orbitrap Fusion Lumos; AC=MS:1002732	40.0 ppm	300.0 ppm	NT=Trypsin/P;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
