source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell line authentication]	characteristics[culture medium]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]
sample_1	homo sapiens	breast	epithelial cell	1	breast cancer	cell line	immunoprecipitation	European ancestry	69Y	female	MCF-7	CVCL_0031	MCF-7	STR profiling	Dulbecco's Modified Eagle Medium	PR090_KEH_090611_08.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005253/PR090_KEH_090611_08.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere
sample_2	homo sapiens	breast	epithelial cell	2	breast cancer	cell line	immunoprecipitation	European ancestry	69Y	female	MCF-7	CVCL_0031	MCF-7	STR profiling	Dulbecco's Modified Eagle Medium	PR099_KEH_190711_10_110722084706.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005253/PR099_KEH_190711_10_110722084706.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere
sample_3	homo sapiens	breast	epithelial cell	3	breast cancer	cell line	immunoprecipitation	European ancestry	69Y	female	MCF-7	CVCL_0031	MCF-7	STR profiling	Dulbecco's Modified Eagle Medium	PR131_KAY_171111_Untreated.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005253/PR131_KAY_171111_Untreated.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere
sample_4	homo sapiens	breast	epithelial cell	4	breast cancer	cell line	immunoprecipitation	European ancestry	69Y	female	MCF-7	CVCL_0031	MCF-7	STR profiling	Dulbecco's Modified Eagle Medium	PR164_KAJ_270112_MCF7_FOXA1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005253/PR164_KAJ_270112_MCF7_FOXA1.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere
sample_5	homo sapiens	breast	epithelial cell	5	breast cancer	cell line	immunoprecipitation	European ancestry	69Y	female	MCF-7	CVCL_0031	MCF-7	STR profiling	Dulbecco's Modified Eagle Medium	PR164_KAJ_270112_MCF7_IgG.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005253/PR164_KAJ_270112_MCF7_IgG.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere
