source name	characteristics[organism]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[developmental stage]	characteristics[organism part]	characteristics[disease]	assay name	technology type	comment[data file]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Pig 8	Sus scrofa	8	Lean	not available	Lung	not available	Pig8	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_8.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 7	Sus scrofa	7	Lean	not available	Lung	not available	Pig7	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_7.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 6	Sus scrofa	6	Obese	not available	Lung	not available	Pig6	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_6.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 5	Sus scrofa	5	Lean	not available	Lung	not available	Pig5	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_5.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 4	Sus scrofa	4	Obese	not available	Lung	not available	Pig4	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_4.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 3	Sus scrofa	3	Obese	not available	Lung	not available	Pig3	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_3.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 2	Sus scrofa	2	Lean	not available	Lung	not available	Pig2	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_2.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Pig 1	Sus scrofa	1	Obese	not available	Lung	not available	Pig1	proteomic profiling by mass spectrometry	20240509_MK_EVO_MVL_FAIMS_1CV_Aurora15_58min_1478_DIA_500ng_1.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	1	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
