source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
cH15_inj1	cH15_inj1	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH15_inj1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH15_inj1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH15_inj1.pride	cH15_inj1.pride	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH15_inj1.pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH15_inj1.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH15_inj2	cH15_inj2	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH15_inj2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH15_inj2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH15_inj2.pride	cH15_inj2.pride	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH15_inj2.pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH15_inj2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH4_inj1	cH4_inj1	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH4_inj1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH4_inj1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH4_inj1.pride	cH4_inj1.pride	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH4_inj1.pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH4_inj1.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH4_inj2	cH4_inj2	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH4_inj2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH4_inj2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH4_inj2.pride	cH4_inj2.pride	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH4_inj2.pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH4_inj2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH7_inj1	cH7_inj1	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH7_inj1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH7_inj1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
cH7_inj1.pride	cH7_inj1.pride	Gammarus fossarum	not available	not applicable	not available	Metaproteomics_on_the_digestive_tract_from_Gammarus_fossarum_an_environmentally_relevant_sentinel	not available	not available	not available	not available	not available	not available	1	cH7_inj1.pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	cH7_inj1.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
