source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Exp1-Sample2.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp1-Sample2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp1-Sample2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp1-Sample2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp1-Sample1.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp1-Sample1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp1-Sample1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp1-Sample1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp2-sample1.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp2-sample1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp2-sample1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp2-sample1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp3-Sample2.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp3-Sample2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp3-Sample2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp3-Sample2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp3-sample1.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp3-sample1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp3-sample1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp3-sample1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp4-sample3.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp4-sample3.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp4-sample3.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp4-sample3.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp1-Sample3.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp1-Sample3.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp1-Sample3.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp1-Sample3.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp4-sample2.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp4-sample2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp4-sample2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp4-sample2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp4-sample1.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp4-sample1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp4-sample1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp4-sample1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Exp1-Sample6.zip	homo sapiens	Cell culture	not applicable	not available	1	Exp1-Sample6.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon etd;AC=MS:1001542	NT=maxis 4g;AC=MS:1002279	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	1	1	Exp1-Sample6.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001521/Exp1-Sample6.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
