source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Nblastoma_1uM_Phospho_FAIMS_180min_FN12_C2_111120	homo sapiens	liver	not applicable	not available	enrichment of phosphorylated protein	1	Nblastoma_1uM_Phospho_FAIMS_180min_FN12_C2_111120	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_1uM_Phospho_FAIMS_180min_FN12_C2_111120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_1uM_Phospho_FAIMS_180min_FN12_C2_111120.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
Nblastoma_100nM_50ug_global_120min_FN14_C2_112020	homo sapiens	liver	not applicable	not available	not applicable	1	Nblastoma_100nM_50ug_global_120min_FN14_C2_112020	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_100nM_50ug_global_120min_FN14_C2_112020.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_100nM_50ug_global_120min_FN14_C2_112020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
Nblastoma_1uM_50ug_global_120min_FN12_C2_112320	homo sapiens	liver	not applicable	not available	not applicable	1	Nblastoma_1uM_50ug_global_120min_FN12_C2_112320	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_1uM_50ug_global_120min_FN12_C2_112320.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_1uM_50ug_global_120min_FN12_C2_112320.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
Nblastoma_1uM_Phospho_FAIMS_180min_FN08_C2_111120	homo sapiens	liver	not applicable	not available	enrichment of phosphorylated protein	1	Nblastoma_1uM_Phospho_FAIMS_180min_FN08_C2_111120	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_1uM_Phospho_FAIMS_180min_FN08_C2_111120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_1uM_Phospho_FAIMS_180min_FN08_C2_111120.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
Nblastoma_100nM_Phospho_FAIMS_180min_FN03_C1_111420	homo sapiens	liver	not applicable	not available	enrichment of phosphorylated protein	1	Nblastoma_100nM_Phospho_FAIMS_180min_FN03_C1_111420	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_100nM_Phospho_FAIMS_180min_FN03_C1_111420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_100nM_Phospho_FAIMS_180min_FN03_C1_111420.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
Nblastoma_1uM_Phospho_FAIMS_180min_FN09_C1_111120	homo sapiens	liver	not applicable	not available	enrichment of phosphorylated protein	1	Nblastoma_1uM_Phospho_FAIMS_180min_FN09_C1_111120	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_1uM_Phospho_FAIMS_180min_FN09_C1_111120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_1uM_Phospho_FAIMS_180min_FN09_C1_111120.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
Nblastoma_100nM_Phospho_FAIMS_180min_FN10_C2_111420	homo sapiens	liver	not applicable	not available	enrichment of phosphorylated protein	1	Nblastoma_100nM_Phospho_FAIMS_180min_FN10_C2_111420	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	28% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Nblastoma_100nM_Phospho_FAIMS_180min_FN10_C2_111420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD014648/Nblastoma_100nM_Phospho_FAIMS_180min_FN10_C2_111420.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	liver
