source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
09-02-2019_S8_1_C8_F.msf	09-02-2019_S8_1_C8_F.msf	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_1_C8_F.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_1_C8_F.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_1_C8_F1	09-02-2019_S8_1_C8_F1	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_1_C8_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_1_C8_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_1_C8_F2	09-02-2019_S8_1_C8_F2	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_1_C8_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_1_C8_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_1_SP3.msf	09-02-2019_S8_1_SP3.msf	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_1_SP3.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_1_SP3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_1_SP3	09-02-2019_S8_1_SP3	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_1_SP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_1_SP3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_2_C8_F1	09-02-2019_S8_2_C8_F1	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_2_C8_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_2_C8_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_2_SP3.msf	09-02-2019_S8_2_SP3.msf	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_2_SP3.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_2_SP3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_2_SP3	09-02-2019_S8_2_SP3	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_2_SP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_2_SP3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_3_C8_F.msf	09-02-2019_S8_3_C8_F.msf	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_3_C8_F.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_3_C8_F.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
09-02-2019_S8_3_C8_F1	09-02-2019_S8_3_C8_F1	human gut metagenome	feces	not applicable	not available	Searching_for_the_small_unknowns_-_Discovery_of_novel_sProteins_in_a_simplified_human_intestinal_microbiome	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	09-02-2019_S8_3_C8_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	09-02-2019_S8_3_C8_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
