source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
FractionA	Naja ashei	venom	not applicable	not applicable	adult	1	run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	SEC_FrakcjaA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
FractionB	Naja ashei	venom	not applicable	not applicable	adult	1	run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	SEC_FrakcjaB.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
FractionC	Naja ashei	venom	not applicable	not applicable	adult	1	run3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	SEC_FrakcjaC.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
FractionE	Naja ashei	venom	not applicable	not applicable	adult	1	run5	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	SEC_FrakcjaE.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
FractionF	Naja ashei	venom	not applicable	not applicable	adult	1	run6	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	SEC_FrakcjaF.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
FractionG	Naja ashei	venom	not applicable	not applicable	adult	1	run7	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	SEC_FrakcjaG.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
FractionH	Naja ashei	venom	not applicable	not applicable	adult	1	run8	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	FH_SEC_KH_PR2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
