source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	1	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 66	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	10	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 67	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	11	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 68	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	12	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 69	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	2	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 70	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	3	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 71	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	4	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 72	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	4	3	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_4_130622083348.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 73	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	5	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
PXD001641-Sample-64	Mus musculus	skeletal muscle tissue	normal	not applicable	tissue	pooled	adult	male	CD1	pooled	1	run 74	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	7 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Off-gel electrophoresis;AC=PRIDE:0000552	OffGel_1	6	1	20130611_EXQ6_AtDe_SA_Library_musclemix_OG_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0
