source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
211216_1037_097_LJ_14_24	211216_1037_097_LJ_14_24	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_14_24	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_14_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_16_64	211216_1037_097_LJ_16_64	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_16_64	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_16_64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_17_67	211216_1037_097_LJ_17_67	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_17_67	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_17_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_22_84	211216_1037_097_LJ_22_84	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_22_84	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_22_84.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_23_87	211216_1037_097_LJ_23_87	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_23_87	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_23_87.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_24_90	211216_1037_097_LJ_24_90	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_24_90	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_24_90.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_25_94	211216_1037_097_LJ_25_94	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_25_94	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_25_94.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_29_107	211216_1037_097_LJ_29_107	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_29_107	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_29_107.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_29_108	211216_1037_097_LJ_29_108	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_29_108	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_29_108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
211216_1037_097_LJ_S03_54	211216_1037_097_LJ_S03_54	Marine plankton environmental sample	sea water	not applicable	not available	Elemental_allocation_to_molecular_drivers_of_biogeochemistry_in_the_Southern_Ocean	sea water	sea water	65 S, 0.038 E	not available	not available	not available	marine microbiome	1	211216_1037_097_LJ_S03_54	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	211216_1037_097_LJ_S03_54.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
