source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	1	not available	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006393	v1.1.0	manual curation	NT=human;VV=v1.1.0	DMSO
sample 2	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	2	not available	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006394	v1.1.0	manual curation	NT=human;VV=v1.1.0	DMSO
sample 3	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	3	not available	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006395	v1.1.0	manual curation	NT=human;VV=v1.1.0	DMSO
sample 4	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	4	not available	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006396	v1.1.0	manual curation	NT=human;VV=v1.1.0	DMSO
sample 5	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	1	not available	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006398	v1.1.0	manual curation	NT=human;VV=v1.1.0	KRASi
sample 6	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	2	not available	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006399	v1.1.0	manual curation	NT=human;VV=v1.1.0	KRASi
sample 7	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	3	not available	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006400	v1.1.0	manual curation	NT=human;VV=v1.1.0	KRASi
sample 8	NT=Homo sapiens;AC=NCBITaxon:9606	Tissue	plexiform neurofibroma cells	NT=normal;AC=PATO:0000461	NF9511b	not available	not available	4	not available	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion Lumos	NT=label free sample	NT=trypsin	1	1	exLewis006401	v1.1.0	manual curation	NT=human;VV=v1.1.0	KRASi
