source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay1	proteomic profiling by mass spectrometry	1	DIA_2X_1.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample2	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay2	proteomic profiling by mass spectrometry	2	DIA_4X_2.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample3	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay3	proteomic profiling by mass spectrometry	3	Pool_DIA_R3.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample4	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay4	proteomic profiling by mass spectrometry	4	Pool_DIA_R6.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample5	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay5	proteomic profiling by mass spectrometry	5	Pool_DIA_R4.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample6	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay6	proteomic profiling by mass spectrometry	6	DIA_8X_3.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample7	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay7	proteomic profiling by mass spectrometry	7	DIA_Base_2.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample8	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay8	proteomic profiling by mass spectrometry	8	DIA_Base_1.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample9	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay9	proteomic profiling by mass spectrometry	9	DIA_2X_3.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample10	Homo sapiens	not available	not applicable	1	not available	not applicable	not available	not available	not available	Assay10	proteomic profiling by mass spectrometry	10	Pool_DIA_R5.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=higher-energy collisional dissociation	50 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
