source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[compound]	characteristics[sampling time]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[sampling time]
C0h-r1	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	not applicable	0 hour	cell	1	run C0h_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_C0h_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	0 hour
C0h-r2	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	not applicable	0 hour	cell	2	run C0h_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_C0h_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	0 hour
C0h-r3	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	not applicable	0 hour	cell	3	run C0h_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_C0h_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	0 hour
C0h-r4	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	not applicable	0 hour	cell	4	run C0h_4	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_C0h_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	0 hour
C0h-r5	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	not applicable	0 hour	cell	5	run C0h_5	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_C0h_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	0 hour
C0h-r6	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	not applicable	0 hour	cell	6	run C0h_6	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_C0h_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	0 hour
T24h-r1	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	24 hour	cell	1	run T24h_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T24h_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	24 hour
T24h-r2	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	24 hour	cell	2	run T24h_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T24h_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	24 hour
T24h-r3	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	24 hour	cell	3	run T24h_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T24h_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	24 hour
T24h-r4	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	24 hour	cell	4	run T24h_4	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T24h_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	24 hour
T24h-r5	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	24 hour	cell	5	run T24h_5	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T24h_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	24 hour
T24h-r6	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	24 hour	cell	6	run T24h_6	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T24h_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	24 hour
T48h-r1	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	48 hour	cell	1	run T48h_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T48h_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	48 hour
T48h-r2	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	48 hour	cell	2	run T48h_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T48h_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	48 hour
T48h-r3	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	48 hour	cell	3	run T48h_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T48h_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	48 hour
T48h-r4	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	48 hour	cell	4	run T48h_4	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T48h_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	48 hour
T48h-r5	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	48 hour	cell	5	run T48h_5	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T48h_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	48 hour
T48h-r6	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	48 hour	cell	6	run T48h_6	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T48h_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	48 hour
T72h-r1	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	72 hour	cell	1	run T72h_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T72h_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	72 hour
T72h-r2	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	72 hour	cell	2	run T72h_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T72h_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	72 hour
T72h-r3	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	72 hour	cell	3	run T72h_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T72h_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	72 hour
T72h-r4	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	72 hour	cell	4	run T72h_4	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T72h_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	72 hour
T72h-r5	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	72 hour	cell	5	run T72h_5	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T72h_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	72 hour
T72h-r6	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	72 hour	cell	6	run T72h_6	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T72h_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	72 hour
T96h-r1	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	96 hour	cell	1	run T96h_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T96h_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	96 hour
T96h-r2	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	96 hour	cell	2	run T96h_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T96h_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	96 hour
T96h-r3	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	96 hour	cell	3	run T96h_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T96h_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	96 hour
T96h-r4	Homo sapiens	cartilage tissue	chondrocyte	normal	adult	not available	not available	not available	not applicable	Interleukin-1 Beta	96 hour	cell	4	run T96h_4	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 240;AC=MS:1003094	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	Exploris_Hellen_T96h_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Interleukin-1 Beta	96 hour
