source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cleavage agent details]
R27T_IFNB_chymotrypsin	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	1	assay_chymotrypsin_tech1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Chymotrypsin;AC=MS:1001306	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	1	20231027_R27T_DTT_IAA_PD10_C_HCD38_CSH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Chymotrypsin
R27T_IFNB_chymotrypsin	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	2	assay_chymotrypsin_tech2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Chymotrypsin;AC=MS:1001306	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	2	20231027_R27T_DTT_IAA_PD10_C_HCD38_CSH_20231028120512.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Chymotrypsin
R27T_IFNB_chymotrypsin	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	3	assay_chymotrypsin_tech3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Chymotrypsin;AC=MS:1001306	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	3	20231027_R27T_DTT_IAA_PD10_C_HCD38_CSH_20231028211907.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Chymotrypsin
R27T_IFNB_Glu-C	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	1	assay_Glu-C_tech1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	1	20231027_R27T_DTT_IAA_PD10_G_HCD38_CSH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	glutamyl endopeptidase
R27T_IFNB_Glu-C	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	2	assay_Glu-C_tech2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	2	20231027_R27T_DTT_IAA_PD10_G_HCD38_CSH_20231028094643.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	glutamyl endopeptidase
R27T_IFNB_Glu-C	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	3	assay_Glu-C_tech3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	3	20231027_R27T_DTT_IAA_PD10_G_HCD38_CSH_20231028190038.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	glutamyl endopeptidase
R27T_IFNB_trypsin	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	1	assay_trypsin_tech1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	1	20231027_R27T_DTT_IAA_PD10_T_HCD38_CSH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Trypsin
R27T_IFNB_trypsin	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	2	assay_trypsin_tech2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	2	20231027_R27T_DTT_IAA_PD10_T_HCD38_CSH_20231028072815.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Trypsin
R27T_IFNB_trypsin	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	3	assay_trypsin_tech3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	38% NCE	1	3	20231027_R27T_DTT_IAA_PD10_T_HCD38_CSH_20231028164209.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Trypsin
R27T_IFNB_PNGaseF_procainamide_glycan	Homo sapiens	not applicable	not applicable	normal	not available	not available	not applicable	not available	synthetic	1	assay_PNGaseF_procainamide_glycan_tech1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	1	1	20231120_R27T_PROC_40C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not applicable
