source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
SoilSample1	Escherichia coli	soil	not available	1	not available	SoilSample1	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_11.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample2	Escherichia coli	soil	not available	1	not available	SoilSample2	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_6.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	2	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample3	Escherichia coli	soil	not available	1	not available	SoilSample3	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_5.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	3	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample4	Escherichia coli	soil	not available	1	not available	SoilSample4	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_16.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	4	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample5	Escherichia coli	soil	not available	1	not available	SoilSample5	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_10.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	5	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample6	Escherichia coli	soil	not available	1	not available	SoilSample6	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_8.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	6	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample7	Escherichia coli	soil	not available	1	not available	SoilSample7	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_4.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	7	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample8	Escherichia coli	soil	not available	1	not available	SoilSample8	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_2.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	8	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample9	Escherichia coli	soil	not available	1	not available	SoilSample9	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_15.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	9	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
SoilSample10	Escherichia coli	soil	not available	1	not available	SoilSample10	proteomic profiling by mass spectrometry	1	20170519_NJ_Felipe_9.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	10	AC=MS:1000422;NT=HCD	8 ppm	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	6	28 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.4
