source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
Ashok_BC1	Phytophthora cinnamomi	Mycelia	not applicable	1	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BC1.wiff and Ashok_BC1.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BC2	Phytophthora cinnamomi	Mycelia	not applicable	2	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BC2.wiff and Ashok_BC2.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BC3	Phytophthora cinnamomi	Mycelia	not applicable	3	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BC3.wiff and Ashok_BC3.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BC4	Phytophthora cinnamomi	Mycelia	not applicable	4	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BC4.wiff and Ashok_BC4.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BC5	Phytophthora cinnamomi	Mycelia	not applicable	5	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BC5.wiff and Ashok_BC5.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BC6	Phytophthora cinnamomi	Mycelia	not applicable	6	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BC6.wiff and Ashok_BC6.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BT1	Phytophthora cinnamomi	Mycelia	not applicable	1	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BT1.wiff and Ashok_BT1.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BT2	Phytophthora cinnamomi	Mycelia	not applicable	2	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BT2.wiff and Ashok_BT2.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BT3	Phytophthora cinnamomi	Mycelia	not applicable	3	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BT3.wiff and Ashok_BT3.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BT4	Phytophthora cinnamomi	Mycelia	not applicable	4	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BT4.wiff and Ashok_BT4.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BT5	Phytophthora cinnamomi	Mycelia	not applicable	5	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BT5.wiff and Ashok_BT5.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Ashok_BT6	Phytophthora cinnamomi	Mycelia	not applicable	6	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	Sciex 5600 TripleTOF	NT=label free sample;AC=MS:1002038	Trypsin	1	1	Ashok_BT6.wiff and Ashok_BT6.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
