source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[genotype]
HeLaK_GFP_mononucleosome_IP_biorep1	Homo sapiens	uterine cervix	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP expression	gfp_ctrl_rep1_1	proteomic profiling by mass spectrometry	1	gfp_ctrl_rep1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP expression
HeLaK_GFP_mononucleosome_IP_biorep1	Homo sapiens	uterine cervix	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP expression	gfp_ctrl_rep1_2	proteomic profiling by mass spectrometry	2	gfp_ctrl_rep1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP expression
HeLaK_GFP_mononucleosome_IP_biorep1	Homo sapiens	uterine cervix	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP expression	gfp_ctrl_rep1_3	proteomic profiling by mass spectrometry	3	gfp_ctrl_rep1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP expression
HeLaK_GFP_mononucleosome_IP_biorep2	Homo sapiens	uterine cervix	epithelial cell	2	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP expression	gfp_ctrl_rep2_1	proteomic profiling by mass spectrometry	1	gfp_ctrl_rep2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP expression
HeLaK_GFP_mononucleosome_IP_biorep2	Homo sapiens	uterine cervix	epithelial cell	2	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP expression	gfp_ctrl_rep2_2	proteomic profiling by mass spectrometry	2	gfp_ctrl_rep2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP expression
HeLaK_GFP_mononucleosome_IP_biorep2	Homo sapiens	uterine cervix	epithelial cell	2	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP expression	gfp_ctrl_rep2_3	proteomic profiling by mass spectrometry	3	gfp_ctrl_rep2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP expression
HeLaK_GFP-HMG20A_mononucleosome_IP_biorep1	Homo sapiens	uterine cervix	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP-HMG20A expression	gfp_hmg20a_rep1_1	proteomic profiling by mass spectrometry	1	gfp_hmg20a_rep1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP-HMG20A expression
HeLaK_GFP-HMG20A_mononucleosome_IP_biorep1	Homo sapiens	uterine cervix	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP-HMG20A expression	gfp_hmg20a_rep1_2	proteomic profiling by mass spectrometry	2	gfp_hmg20a_rep1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP-HMG20A expression
HeLaK_GFP-HMG20A_mononucleosome_IP_biorep1	Homo sapiens	uterine cervix	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP-HMG20A expression	gfp_hmg20a_rep1_3	proteomic profiling by mass spectrometry	3	gfp_hmg20a_rep1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP-HMG20A expression
HeLaK_GFP-HMG20A_mononucleosome_IP_biorep2	Homo sapiens	uterine cervix	epithelial cell	2	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	not available	Dulbecco's Modified Eagle Medium	GFP-HMG20A expression	gfp_hmg20a_rep2_1	proteomic profiling by mass spectrometry	1	gfp_hmg20a_rep2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	GFP-HMG20A expression
