source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z13.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z13.raw.tgz	1	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z12.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z12.raw.tgz	2	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z04.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z04.raw.tgz	3	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z02.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z02.raw.tgz	4	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z15.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z15.raw.tgz	5	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z09.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z09.raw.tgz	6	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z10.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z10.raw.tgz	7	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z05.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z05.raw.tgz	8	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z01.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z01.raw.tgz	9	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
PXD014413-Sample-1	Streptomyces coelicolor	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HDMSE;AC=PRIDE:0000452	20190509_Du_z08.raw.tgz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014413/20190509_Du_z08.raw.tgz	10	1	NT=label free sample;AC=MS:1002038	NT=Synapt ms;AC=MS:1001782	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	AC=MS:1000133;NT=collision-induced dissociation	not available	not available	NT=Streptomyces coelicolor;AC=NCBITaxon:1902
