source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Escherichia coli	not available	not available	1	not available	Assay1	proteomic profiling by mass spectrometry	1	Cetuximab_EGFR_50fold_b1_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Escherichia coli	not available	not available	1	not available	Assay2	proteomic profiling by mass spectrometry	2	Matuzumab_EGFR_50fold_b1_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Escherichia coli	not available	not available	1	not available	Assay3	proteomic profiling by mass spectrometry	3	Matuzumab_EGFR_50fold_b2_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Escherichia coli	not available	not available	2	not available	Assay4	proteomic profiling by mass spectrometry	1	Cetuximab_EGFR_50fold_b2_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Escherichia coli	not available	not available	2	not available	Assay5	proteomic profiling by mass spectrometry	2	Cetuximab_EGFR_50fold_b2_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Escherichia coli	not available	not available	2	not available	Assay6	proteomic profiling by mass spectrometry	3	Matuzumab_EGFR_50fold_b1_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Escherichia coli	not available	not available	2	not available	Assay7	proteomic profiling by mass spectrometry	4	Matuzumab_EGFR_50fold_b2_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Escherichia coli	not available	not available	2	not available	Assay8	proteomic profiling by mass spectrometry	5	Matuzumab_EGFR_50fold_b2_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Escherichia coli	not available	not available	2	not available	Assay9	proteomic profiling by mass spectrometry	6	Matuzumab_EGFR_50fold_b1_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Escherichia coli	not available	not available	3	not available	Assay10	proteomic profiling by mass spectrometry	7	Cetuximab_EGFR_50fold_b1_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
