source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[depletion]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 6	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc6.raw	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 7	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161017_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161017_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc7.raw	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 8	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc8.raw	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 9	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc9.raw	9	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 10	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc10.raw	10	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 11	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11.raw	11	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 12	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12.raw	12	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 13	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13.raw	13	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 14	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14.raw	14	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	not available	run 15	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15.raw	15	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	7 ppm	20 ppm	Blood plasma
