source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
FU_2016_0627_09_e10h5-1	FU_2016_0627_09_e10h5-1	sediment metagenome	not applicable	not applicable	not applicable	sediment	sediment	Hydrate Ridge	PXD012479	hydrate-associated microbiome	1	FU_2016_0627_09_e10h5-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	FU_2016_0627_09_e10h5-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
FU_2016_0627_08_c1h2	FU_2016_0627_08_c1h2	sediment metagenome	not applicable	not applicable	not applicable	sediment	sediment	Hydrate Ridge	PXD012479	hydrate-associated microbiome	1	FU_2016_0627_08_c1h2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	FU_2016_0627_08_c1h2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
FU_2016_0627_11_c3h4	FU_2016_0627_11_c3h4	sediment metagenome	not applicable	not applicable	not applicable	sediment	sediment	Hydrate Ridge	PXD012479	hydrate-associated microbiome	1	FU_2016_0627_11_c3h4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	FU_2016_0627_11_c3h4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
FU_2016_0627_10_e10h5-2	FU_2016_0627_10_e10h5-2	sediment metagenome	not applicable	not applicable	not applicable	sediment	sediment	Hydrate Ridge	PXD012479	hydrate-associated microbiome	1	FU_2016_0627_10_e10h5-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	FU_2016_0627_10_e10h5-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
2017_July_24_lumos_C1H2	2017_July_24_lumos_C1H2	sediment metagenome	not applicable	not applicable	not applicable	sediment	sediment	Hydrate Ridge	PXD012479	hydrate-associated microbiome	1	2017_July_24_lumos_C1H2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	2017_July_24_lumos_C1H2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
