source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
Aerococcus_urinae_1	Aerococcus_urinae_1	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_38_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_1	Globicatella_sanguinis_1	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_50_S1_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_1	Escherichia_coli_1	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_39_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_2	Aerococcus_urinae_2	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_49_S2_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_2	Globicatella_sanguinis_2	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC141027_UCB_SU_53_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_2	Escherichia_coli_2	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_49_S1_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_3	Aerococcus_urinae_3	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_52_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_3	Globicatella_sanguinis_3	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC041714_UCB_62_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_3	Escherichia_coli_3	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052214_UCB_CB_37_II_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_4	Aerococcus_urinae_4	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052214_UCB_CB_37_I_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
