source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_01	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_01	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_02	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_02	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_03	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_03	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_05	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_05	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_06	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_06	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_08	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_08	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_09	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_09	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_10	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_10	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180804_OV3_P2_ChW_LG_Basisproteom_d0_7936_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_01	180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_01	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_04	180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_04	Sus scrofa domesticus	feces	not applicable	not available	An_integrated_multi-omics_protocol_for_swine_feces_reveals_congruent_longitudinal_dynamics_in_microbiome_structure_and_function	feces	feces	not available	not available	not available	not available	gut microbiome	Sus scrofa domesticus	feces	not available	1	180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_OV3_P2_ChW_LG_Basisproteom_d0_7460_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
