source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[developmental stage]
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	1	1	proteome_GS_E1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	2	1	proteome_GS_E2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	3	1	proteome_GS_E3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	4	1	proteome_GS_E4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	5	1	proteome_GS_E5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	6	1	proteome_GS_E6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	8	1	proteome_GS_E8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	9	1	proteome_GS_E9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	10	1	proteome_GS_E10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	11	1	proteome_GS_E11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_GS	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	12	1	proteome_GS_E12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
