source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	1	1	01949_GA1_P020182_S00_I00_U01_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	1	2	01949_GA1_P020182_S00_I00_U01_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	2	1	01949_GB1_P020182_S00_I00_U02_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	2	2	01949_GB1_P020182_S00_I00_U02_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	3	1	01949_GC1_P020182_S00_I00_U03_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	3	2	01949_GC1_P020182_S00_I00_U03_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	4	1	01949_GD1_P020182_S00_I00_U04_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Accessory.glands_mouse30368539_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=male accessory sex gland;AC=UBERON:0010147	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368539	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	4	2	01949_GD1_P020182_S00_I00_U04_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=male accessory sex gland;AC=UBERON:0010147
Adrenal.gland_mouse30368533_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=adrenal gland;AC=UBERON:0002369	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368533	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	1	1	01948_BE2_P020177_S00_I00_U01_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=adrenal gland;AC=UBERON:0002369
Adrenal.gland_mouse30368533_phospho_br1	NT=Mus musculus;AC=NCBITaxon:10090	NT=adrenal gland;AC=UBERON:0002369	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	16W	male	C57BL/6N	30368533	tissue	NT=IMAC;AC=PRIDE:0000587	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=High-performance liquid chromatography;AC=PRIDE:0000565	4.5 ppm	20 ppm	1	2	01948_BE2_P020177_S00_I00_U01_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=adrenal gland;AC=UBERON:0002369
