source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
Nb_m1URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_M1	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	m1URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_M1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2020_S33_mycURT1_Bentha_XL_PVP_M1-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	m1URT1D491/3A
Nb_m1URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_M1	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	m1URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_M1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	2020_S33_mycURT1_Bentha_XL_PVP_M1-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	m1URT1D491/3A
Nb_m1URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_M2	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	m1URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_M2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2020_S33_mycURT1_Bentha_XL_PVP_M2-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	m1URT1D491/3A
Nb_m1URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_M2	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	m1URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_M2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	2020_S33_mycURT1_Bentha_XL_PVP_M2-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	m1URT1D491/3A
Nb_URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_star1	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_star1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2020_S33_mycURT1_Bentha_XL_PVP_star1-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	URT1D491/3A
Nb_URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_star1	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_star1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	2020_S33_mycURT1_Bentha_XL_PVP_star1-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	URT1D491/3A
Nb_URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_star2	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_star2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2020_S33_mycURT1_Bentha_XL_PVP_star2-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	URT1D491/3A
Nb_URT1D4913A_2020_S33_mycURT1_Bentha_XL_PVP_star2	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	URT1D491/3A	organism part	study sample	1	2020_S33_mycURT1_Bentha_XL_PVP_star2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	2020_S33_mycURT1_Bentha_XL_PVP_star2-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	URT1D491/3A
Nb_m1URT1D4913A_2020_S35_URT1mycXL-PVP12000g_Mut1	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	m1URT1D491/3A	organism part	study sample	1	2020_S35_URT1mycXL-PVP12000g_Mut1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2020_S35_URT1mycXL-PVP12000g_Mut1-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	m1URT1D491/3A
Nb_m1URT1D4913A_2020_S35_URT1mycXL-PVP12000g_Mut1	Nicotiana benthamiana	leaf	not applicable	normal	sporophyte vegetative stage	not available	soil, 16 h light/8 h dark, 22/18 C, agroinfiltrated at 4 weeks, harvest 4 d after infiltration	m1URT1D491/3A	organism part	study sample	1	2020_S35_URT1mycXL-PVP12000g_Mut1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	2020_S35_URT1mycXL-PVP12000g_Mut1-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	m1URT1D491/3A
