source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[relative abundance]
P25_A-BALF_Corona	Mus musculus	Bronchoalveolar lavage fluid	no cells,biofluid	normal	adult	1	Proteomics	LC-MS/MS	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	ID72281_01_FSN20357_5611_090122.RAW	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	Corona
P25_B-BALF_Corona	Mus musculus	Bronchoalveolar lavage fluid	no cells,biofluid	normal	adult	2	Proteomics	LC-MS/MS	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	ID72282_01_FSN20357_5611_090122.RAW	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	Corona
P25_C-BALF_Corona	Mus musculus	Bronchoalveolar lavage fluid	no cells,biofluid	normal	adult	3	Proteomics	LC-MS/MS	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	ID72283_01_FSN20357_5611_090122.RAW	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	Corona
BALF_A	Mus musculus	Bronchoalveolar lavage fluid	no cells,biofluid	normal	adult	1	Proteomics	LC-MS/MS	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	ID72284_01_FSN20357_5611_090122.RAW	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	Control
BALF_B	Mus musculus	Bronchoalveolar lavage fluid	no cells,biofluid	normal	adult	2	Proteomics	LC-MS/MS	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	ID72285_01_FSN20357_5611_090122.RAW	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	Control
BALF_C	Mus musculus	Bronchoalveolar lavage fluid	no cells,biofluid	normal	adult	3	Proteomics	LC-MS/MS	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	ID72286_01_FSN20357_5611_090122.RAW	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	Control
