source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[disease]	characteristics[cell type]	assay name	technology type	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[experimental condition]
SCR 2.11.23	mus musculus	Bone marrow	1	not applicable	not applicable	Bone marrow derived macrophages	16912	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16912_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	SCR
GLU 2.11.23	mus musculus	Bone marrow	1	not applicable	not applicable	Bone marrow derived macrophages	16913	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16913_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	GLU
SCR 9.11.23	mus musculus	Bone marrow	2	not applicable	not applicable	Bone marrow derived macrophages	16914	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16914_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	SCR
GLU 9.11.23	mus musculus	Bone marrow	2	not applicable	not applicable	Bone marrow derived macrophages	16915	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16915_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	GLU
SCR 23.11.23	mus musculus	Bone marrow	3	not applicable	not applicable	Bone marrow derived macrophages	16916	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16916_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	SCR
GLU 23.11.23	mus musculus	Bone marrow	3	not applicable	not applicable	Bone marrow derived macrophages	16917	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16917_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	GLU
SCR 30.11.23	mus musculus	Bone marrow	4	not applicable	not applicable	Bone marrow derived macrophages	16918	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16918_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	SCR
GLU 30.11.23	mus musculus	Bone marrow	4	not applicable	not applicable	Bone marrow derived macrophages	16919	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16919_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	GLU
SCR 7.12.23	mus musculus	Bone marrow	5	not applicable	not applicable	Bone marrow derived macrophages	16920	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16920_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	SCR
GLU 7.12.23	mus musculus	Bone marrow	5	not applicable	not applicable	Bone marrow derived macrophages	16921	proteomic profiling by mass spectrometry	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	1	1	240104_Klein_16921_140min_8ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	GLU
