source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
170927sy_CMC_1day_1	170927sy_CMC_1day_1	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_1day_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_1day_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_1day_2	170927sy_CMC_1day_2	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_1day_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_1day_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_1day_3	170927sy_CMC_1day_3	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_1day_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_1day_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_1day_4	170927sy_CMC_1day_4	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_1day_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_1day_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_1day_5	170927sy_CMC_1day_5	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_1day_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_1day_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_sacri_1	170927sy_CMC_sacri_1	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_sacri_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_sacri_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_sacri_2	170927sy_CMC_sacri_2	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_sacri_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_sacri_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_sacri_3	170927sy_CMC_sacri_3	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_sacri_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_sacri_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_sacri_4	170927sy_CMC_sacri_4	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_sacri_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_sacri_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
170927sy_CMC_sacri_5	170927sy_CMC_sacri_5	Mus musculus	feces	not applicable	not available	dbdb_mouse_feces_metaproteome	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	170927sy_CMC_sacri_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	170927sy_CMC_sacri_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
