source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
QX200428	Lactococcus lactis	not available	1	QX200428	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200428.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200433	Lactococcus lactis	not available	1	QX200433	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200433.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200431	Lactococcus lactis	not available	1	QX200431	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200431.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200439	Lactococcus lactis	not available	1	QX200439	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200439.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200440	Lactococcus lactis	not available	1	QX200440	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200440.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200438	Lactococcus lactis	not available	1	QX200438	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200438.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200436	Lactococcus lactis	not available	1	QX200436	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200436.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200430	Lactococcus lactis	not available	1	QX200430	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200430.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200426	Lactococcus lactis	not available	1	QX200426	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200426.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200429	Lactococcus lactis	not available	1	QX200429	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200429.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200427	Lactococcus lactis	not available	1	QX200427	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200427.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200437	Lactococcus lactis	not available	1	QX200437	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200437.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200435	Lactococcus lactis	not available	1	QX200435	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200435.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200434	Lactococcus lactis	not available	1	QX200434	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200434.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
QX200432	Lactococcus lactis	not available	1	QX200432	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	QX200432.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
