source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Black_BS10_bacteria.dat	Black_BS10_bacteria.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS10_bacteria.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS10_bacteria.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS11.baf	Black_BS11.baf	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS11.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS11.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS11_bacteria.dat	Black_BS11_bacteria.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS11_bacteria.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS11_bacteria.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS11_homo.dat	Black_BS11_homo.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS11_homo.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS11_homo.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS13.baf	Black_BS13.baf	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS13.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS13.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS13_homo.dat	Black_BS13_homo.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS13_homo.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS13_homo.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS17.baf	Black_BS17.baf	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS17.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS17.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS17_bacteria.dat	Black_BS17_bacteria.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS17_bacteria.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS17_bacteria.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS19_bacteria.dat	Black_BS19_bacteria.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS19_bacteria.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS19_bacteria.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS19_homo.dat	Black_BS19_homo.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS19_homo.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS19_homo.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS21.baf	Black_BS21.baf	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS21.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS21.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS21_homo.dat	Black_BS21_homo.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS21_homo.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS21_homo.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS25.baf	Black_BS25.baf	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS25.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS25.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS25_homo.dat	Black_BS25_homo.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS25_homo.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS25_homo.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS26.baf	Black_BS26.baf	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS26.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS26.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS26_bacteria.dat	Black_BS26_bacteria.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS26_bacteria.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS26_bacteria.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS26_homo.dat	Black_BS26_homo.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS26_homo.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS26_homo.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
Black_BS27_bacteria.dat	Black_BS27_bacteria.dat	Homo sapiens	Dental plaque	not applicable	Tooth disease	Deciphering_Black_Extrinsic_Tooth_Stains_composition_in_Children_using_metaproteomics	Dental plaque	Dental plaque	not available	not available	not available	not available	1	Black_BS27_bacteria.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=maXis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Black_BS27_bacteria.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
