source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
S_a2	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a4	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-6	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	6	RO-CS-140925_PandeyA_ZM-pST_Fraction-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_b3	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_b3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_b3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_b3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-5	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	5	RO-CS-140925_PandeyA_ZM-pST_Fraction-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-3	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	3	RO-CS-140925_PandeyA_ZM-pST_Fraction-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a3	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a8	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_b2	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_b2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_b2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_b2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a12	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
