source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[biological replicate]	characteristics[treatment]	characteristics[enrichment process]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms2 mass analyzer]	comment[alkylation reagent]	comment[fraction identifier]	comment[sample preparation batch]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
DCR_MT_0825_G	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	1	not available	not available	DCR_MT_0825_G_BR1_R1	proteomic profiling by mass spectrometry	DCR_MT_0825_G1_1.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	not available	not available	not available	not available	not available	not available	not available	1	0825	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_0825_G
DCR_MT_0825_G	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	2	not available	not available	DCR_MT_0825_G_BR2_R1	proteomic profiling by mass spectrometry	DCR_MT_0825_G2_1.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	not available	not available	not available	not available	not available	not available	not available	1	0825	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_0825_G
DCR_MT_0825_G	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	3	not available	not available	DCR_MT_0825_G_BR3_R1	proteomic profiling by mass spectrometry	DCR_MT_0825_G3_1.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	not available	not available	not available	not available	not available	not available	not available	1	0825	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_0825_G
DCR_MT_0825_P	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	1	not available	not available	DCR_MT_0825_P_BR1_R1	proteomic profiling by mass spectrometry	DCR_MT_0825_P1_1.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	not available	not available	not available	not available	not available	not available	not available	1	0825	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_0825_P
DCR_MT_0825_P	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	2	not available	not available	DCR_MT_0825_P_BR2_R1	proteomic profiling by mass spectrometry	DCR_MT_0825_P2_1.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	not available	not available	not available	not available	not available	not available	not available	1	0825	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_0825_P
DCR_MT_0825_P	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	3	not available	not available	DCR_MT_0825_P_BR3_R1	proteomic profiling by mass spectrometry	DCR_MT_0825_P3_1.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	not available	not available	not available	not available	not available	not available	not available	1	0825	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_0825_P
DCR_MT_13752_A	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	1	not available	NT=Affinity purification coupled with mass spectrometry proteomics;AC=PRIDE:0000431	DCR_MT_13752_A_BR1_R1	proteomic profiling by mass spectrometry	DCR_MT_13752_A1_1.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	not available	not available	400m/z-1500m/z	200m/z-2000m/z	NT=orbitrap;AC=MS:1000484	not available	1	13752	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_13752_A
DCR_MT_13752_A	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	2	not available	NT=Affinity purification coupled with mass spectrometry proteomics;AC=PRIDE:0000431	DCR_MT_13752_A_BR2_R1	proteomic profiling by mass spectrometry	DCR_MT_13752_A2_1.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	not available	not available	400m/z-1500m/z	200m/z-2000m/z	NT=orbitrap;AC=MS:1000484	not available	1	13752	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_13752_A
DCR_MT_13752_A	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	3	not available	NT=Affinity purification coupled with mass spectrometry proteomics;AC=PRIDE:0000431	DCR_MT_13752_A_BR3_R1	proteomic profiling by mass spectrometry	DCR_MT_13752_A3_1.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	not available	not available	400m/z-1500m/z	200m/z-2000m/z	NT=orbitrap;AC=MS:1000484	not available	1	13752	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_13752_A
DCR_MT_13752_I	Homo sapiens	not applicable	not available	cell line	not available	not available	not available	not available	not available	1	not available	NT=Affinity purification coupled with mass spectrometry proteomics;AC=PRIDE:0000431	DCR_MT_13752_I_BR1_R1	proteomic profiling by mass spectrometry	DCR_MT_13752_I1_1.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	not available	not available	400m/z-1500m/z	200m/z-2000m/z	NT=orbitrap;AC=MS:1000484	not available	1	13752	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sdrf-pipelines v0.1.5	DCR_MT_13752_I
