source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[chemical administration]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[chemical administration]
CTRL_1	CTRL_1	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	DMSO	1	Assay1	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	DMSO
CTRL_2	CTRL_2	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	DMSO	2	Assay2	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	DMSO
CTRL_3	CTRL_3	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	DMSO	3	Assay3	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	DMSO
CTRL_4	CTRL_4	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	DMSO	4	Assay4	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_4.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	DMSO
CTRL_5	CTRL_5	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	DMSO	5	Assay5	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_CTRL_5.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	DMSO
MTFM_1	MTFM_1	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	metformin	1	Assay6	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	metformin
MTFM_2	MTFM_2	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	metformin	2	Assay7	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	metformin
MTFM_3	MTFM_3	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	metformin	3	Assay8	proteomic profiling by mass spectrometry	1	Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_3-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_3-1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	metformin
MTFM_3	MTFM_3	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	metformin	3	Assay9	proteomic profiling by mass spectrometry	2	Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_3-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_3-2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	metformin
MTFM_3	MTFM_3	human gut metagenome	feces	feces	human gut microbiome	Homo sapiens	not available	not available	not available	feces	metformin	3	Assay10	proteomic profiling by mass spectrometry	3	Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_3-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD016427/Leyuan_20190531_RapidAIM_mp_vs_mg_MTFM_3-3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	metformin
