source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD060084-Sample-1	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-2	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-3	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-4	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-5	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-6	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-7	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-8	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-9	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD060084-Sample-10	Mus musculus	heart	not available	not available	1	x220903_HI1701_WP_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	x220903_HI1701_WP_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
