source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[coronavirus shedding status]	factor value[sample processing]
bat_BZ118_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ118	organism part	1	BatCov_19	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ111_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ111	organism part	1	BatCov_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ95_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ95	organism part	1	BatCov_20	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding positive	not available
bat_D141_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D141	organism part	1	BatCov_20H	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_20H.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	heat inactivated (56C 1h)
bat_D141_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D141	organism part	1	BatCov_20NH	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_20NH.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	non-heated
bat_BZ81_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ81	organism part	1	BatCov_21	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ114_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ114	organism part	1	BatCov_22	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding positive	not available
bat_BZ109_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ109	organism part	1	BatCov_23	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ90_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ90	organism part	1	BatCov_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ113_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ113	organism part	1	BatCov_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_D153_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D153	organism part	1	BatCov_5H	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_5H.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	heat inactivated (56C 1h)
bat_D153_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D153	organism part	1	BatCov_5NH	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_5NH.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	non-heated
bat_BZ91_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ91	organism part	1	BatCov_6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding positive	not available
bat_BZ116_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ116	organism part	1	BatCov_7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_D132_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D132	organism part	1	BatCov_7H	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_7H.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	heat inactivated (56C 1h)
bat_D132_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D132	organism part	1	BatCov_7NH	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_7NH.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	non-heated
bat_BZ143_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ143	organism part	1	BatCov_8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	not available
bat_BZ112_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ112	organism part	1	BatCov_9	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
