source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
45_control	Homo sapiens	cervical carcinoma	not applicable	normal	HeLa	not available	not available	1	not available	enrichment of biotinylated Protein	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	45 - 02_1-CTRL.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
45_wild-type	Homo sapiens	cervical carcinoma	not applicable	normal	HeLa	not available	not available	1	not available	enrichment of biotinylated Protein	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	45 - 03_2-WT.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
45_RAB3GAP1-null	Homo sapiens	cervical carcinoma	not applicable	Warburg Micro syndrome	HeLa	not available	not available	1	not available	enrichment of biotinylated Protein	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	45 - 04_3-GAP1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
45_RAB3GAP2-null	Homo sapiens	cervical carcinoma	not applicable	Warburg Micro syndrome	HeLa	not available	not available	1	not available	enrichment of biotinylated Protein	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	45 - 05_4-GAP2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
45_TBC1D20-null	Homo sapiens	cervical carcinoma	not applicable	Warburg Micro syndrome	HeLa	not available	not available	1	not available	enrichment of biotinylated Protein	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	45 - 06_5-TBC1D20.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
45_TRAPPC9-null	Homo sapiens	cervical carcinoma	not applicable	Warburg Micro syndrome	HeLa	not available	not available	1	not available	enrichment of biotinylated Protein	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	45 - 07_6-TRAPPC9.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
81_control	Homo sapiens	cervical carcinoma	not applicable	normal	HeLa	not available	not available	2	not available	enrichment of biotinylated Protein	run 2	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	81 - 02_1-CTRL.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
81_wild-type	Homo sapiens	cervical carcinoma	not applicable	normal	HeLa	not available	not available	2	not available	enrichment of biotinylated Protein	run 2	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	81 - 03_2-WT.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
81_RAB3GAP1-null	Homo sapiens	cervical carcinoma	not applicable	Warburg Micro syndrome	HeLa	not available	not available	2	not available	enrichment of biotinylated Protein	run 2	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	81 - 04_3-GAP1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
81_RAB3GAP2-null	Homo sapiens	cervical carcinoma	not applicable	Warburg Micro syndrome	HeLa	not available	not available	2	not available	enrichment of biotinylated Protein	run 2	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	81 - 05_4-GAP2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0
