source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
THP1_NT_0_1	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	not applicable	1	20150615_56_QP2_AG_NT_1_NT_0_1	proteomic profiling by mass spectrometry	1	20150615_56_QP2_AG_NT_1_NT_0_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
THP1_NT_0_2	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	not applicable	2	20150615_79_QP2_AG_NT_2_NT_0_2	proteomic profiling by mass spectrometry	1	20150615_79_QP2_AG_NT_2_NT_0_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
THP1_NT_0_3	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	not applicable	3	20150615_55_QP2_AG_NT_3_NT_0_3	proteomic profiling by mass spectrometry	1	20150615_55_QP2_AG_NT_3_NT_0_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
THP1_LPS_100_1	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	Lipopolysaccharide	1	20150615_15_QP2_AG_NT_4_LPS_100_1	proteomic profiling by mass spectrometry	1	20150615_15_QP2_AG_NT_4_LPS_100_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lipopolysaccharide
THP1_LPS_100_2	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	Lipopolysaccharide	2	20150615_02_QP2_AG_NT_14_LPS_100_2	proteomic profiling by mass spectrometry	1	20150615_02_QP2_AG_NT_14_LPS_100_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lipopolysaccharide
THP1_LPS_100_3	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	Lipopolysaccharide	3	20150615_64_QP2_AG_NT_15_LPS_100_3	proteomic profiling by mass spectrometry	1	20150615_64_QP2_AG_NT_15_LPS_100_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lipopolysaccharide
THP1_STS_4_1	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	Staurosporine	1	20150615_19_QP2_AG_NT_25_STS_4_1	proteomic profiling by mass spectrometry	1	20150615_19_QP2_AG_NT_25_STS_4_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Staurosporine
THP1_STS_4_2	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	Staurosporine	2	20150615_46_QP2_AG_NT_26_STS_4_2	proteomic profiling by mass spectrometry	1	20150615_46_QP2_AG_NT_26_STS_4_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Staurosporine
THP1_STS_4_3	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	Staurosporine	3	20150615_21_QP2_AG_NT_27_STS_4_3	proteomic profiling by mass spectrometry	1	20150615_21_QP2_AG_NT_27_STS_4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Staurosporine
THP1_Au52_25_1	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)	1	20150615_49_QP2_AG_NT_13_Au52_25_1	proteomic profiling by mass spectrometry	1	20150615_49_QP2_AG_NT_13_Au52_25_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)
THP1_Au52_25_2	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)	2	20150615_86_QP2_AG_NT_5_Au52_25_2	proteomic profiling by mass spectrometry	1	20150615_86_QP2_AG_NT_5_Au52_25_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)
THP1_Au52_25_3	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)	3	20150615_28_QP2_AG_NT_6_Au52_25_3	proteomic profiling by mass spectrometry	1	20150615_28_QP2_AG_NT_6_Au52_25_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)
THP1_Au52_35_1	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)	1	20150615_39_QP2_AG_NT_28_Au52_35_1	proteomic profiling by mass spectrometry	1	20150615_39_QP2_AG_NT_28_Au52_35_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)
THP1_Au52_35_2	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)	2	20150615_13_QP2_AG_NT_29_Au52_35_2	proteomic profiling by mass spectrometry	1	20150615_13_QP2_AG_NT_29_Au52_35_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)
THP1_Au52_35_3	Homo sapiens	blood	monocyte	THP-1	CVCL_0006	THP-1	acute monocytic leukemia	1Y	male	not available	not applicable	Roswell Park Memorial Institute 1640 Medium	not available	not available	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)	3	20150615_16_QP2_AG_NT_30_Au52_35_3	proteomic profiling by mass spectrometry	1	20150615_16_QP2_AG_NT_30_Au52_35_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	5 nm alkylammonium-functionalized gold nanoparticle (Au-NR3+)
