source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD032267-Sample-1	Mus musculus	heart left ventricle	not applicable	systolic heart failure	not available	not available	not available	not available	PXD032267-Individual-1	tissue	1	ISG15 knockout mouse left ventricle 4 weeks after pressure overload induced by transverse aortic constriction	not available	KO_TAC1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	KO_TAC1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	KO_TAC
PXD032267-Sample-2	Mus musculus	heart left ventricle	not applicable	systolic heart failure	not available	not available	not available	not available	PXD032267-Individual-2	tissue	2	ISG15 knockout mouse left ventricle 4 weeks after pressure overload induced by transverse aortic constriction	not available	KO_TAC2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	KO_TAC2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	KO_TAC
PXD032267-Sample-3	Mus musculus	heart left ventricle	not applicable	systolic heart failure	not available	not available	not available	not available	PXD032267-Individual-3	tissue	3	ISG15 knockout mouse left ventricle 4 weeks after pressure overload induced by transverse aortic constriction	not available	KO_TAC3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	KO_TAC3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	KO_TAC
PXD032267-Sample-4	Mus musculus	heart left ventricle	not applicable	normal	not available	not available	not available	not available	PXD032267-Individual-4	tissue	1	ISG15 knockout control mouse left ventricle, no pressure overload	not available	KO_Control1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	KO_Control1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	KO_control
PXD032267-Sample-5	Mus musculus	heart left ventricle	not applicable	normal	not available	not available	not available	not available	PXD032267-Individual-5	tissue	2	ISG15 knockout control mouse left ventricle, no pressure overload	not available	KO_Control2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	KO_Control2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	KO_control
PXD032267-Sample-6	Mus musculus	heart left ventricle	not applicable	normal	not available	not available	not available	not available	PXD032267-Individual-6	tissue	3	ISG15 knockout control mouse left ventricle, no pressure overload	not available	KO_Control3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	KO_Control3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	KO_control
PXD032267-Sample-7	Mus musculus	heart left ventricle	not applicable	systolic heart failure	not available	not available	not available	not available	PXD032267-Individual-7	tissue	1	Wild-type mouse left ventricle 4 weeks after pressure overload induced by transverse aortic constriction	not available	Wt_TAC1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	Wt_TAC1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_TAC
PXD032267-Sample-8	Mus musculus	heart left ventricle	not applicable	systolic heart failure	not available	not available	not available	not available	PXD032267-Individual-8	tissue	2	Wild-type mouse left ventricle 4 weeks after pressure overload induced by transverse aortic constriction	not available	Wt_TAC2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	Wt_TAC2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_TAC
PXD032267-Sample-9	Mus musculus	heart left ventricle	not applicable	systolic heart failure	not available	not available	not available	not available	PXD032267-Individual-9	tissue	3	Wild-type mouse left ventricle 4 weeks after pressure overload induced by transverse aortic constriction	not available	Wt_TAC3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	Wt_TAC3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_TAC
PXD032267-Sample-10	Mus musculus	heart left ventricle	not applicable	normal	not available	not available	not available	not available	PXD032267-Individual-10	tissue	1	Wild-type control mouse left ventricle, no pressure overload	not available	Wt_Control1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	1	1	Wt_Control1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT_control
