source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
141005_V3_P5_RN_TiO_HCD_Co-L_15min_F7	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141005_V3_P5_RN_TiO_HCD_Co-L_15min_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	7	1	141005_V3_P5_RN_TiO_HCD_Co-L_15min_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141005_V3_P5_RN_TiO_HCD_Co-L_15min_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140606_V3_P5_FH_pYIP_Co-H_22h_CID	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140606_V3_P5_FH_pYIP_Co-H_22h_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140606_V3_P5_FH_pYIP_Co-H_22h_CID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140606_V3_P5_FH_pYIP_Co-H_22h_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F3_Co-H_15m_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F3_Co-H_15m_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F3_Co-H_15m_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F3_Co-H_15m_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141005_V3_P5_RN_TiO_HCD_Co-L_15min_F4	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141005_V3_P5_RN_TiO_HCD_Co-L_15min_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	4	1	141005_V3_P5_RN_TiO_HCD_Co-L_15min_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141005_V3_P5_RN_TiO_HCD_Co-L_15min_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140917_V3_P5_RN_TiO_CID_Co-L_2h_F3_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140917_V3_P5_RN_TiO_CID_Co-L_2h_F3_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140917_V3_P5_RN_TiO_CID_Co-L_2h_F3_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140917_V3_P5_RN_TiO_CID_Co-L_2h_F3_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140526_V3_P5_TiO_F13_Co-L_22h_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140526_V3_P5_TiO_F13_Co-L_22h_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140526_V3_P5_TiO_F13_Co-L_22h_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140526_V3_P5_TiO_F13_Co-L_22h_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140820_V3_P5_RN_TiO_F10_Co-H_2h2_HCD-Inc	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140820_V3_P5_RN_TiO_F10_Co-H_2h2_HCD-Inc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140820_V3_P5_RN_TiO_F10_Co-H_2h2_HCD-Inc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140820_V3_P5_RN_TiO_F10_Co-H_2h2_HCD-Inc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140526_V3_P5_TiO_F10_Co-L_22h_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140526_V3_P5_TiO_F10_Co-L_22h_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140526_V3_P5_TiO_F10_Co-L_22h_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140526_V3_P5_TiO_F10_Co-L_22h_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140830_V3_P5_RN_TiO_HCD-Inc_Co-H_15min_F10	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140830_V3_P5_RN_TiO_HCD-Inc_Co-H_15min_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	10	1	140830_V3_P5_RN_TiO_HCD-Inc_Co-H_15min_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140830_V3_P5_RN_TiO_HCD-Inc_Co-H_15min_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141014_V3_P5_RN_pY_CID_Co-H_2h	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141014_V3_P5_RN_pY_CID_Co-H_2h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	141014_V3_P5_RN_pY_CID_Co-H_2h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141014_V3_P5_RN_pY_CID_Co-H_2h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
