source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
28_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	28_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	28_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/28_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
22_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	22_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	22_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/22_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
33_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	33_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	33_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/33_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
21_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	21_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	21_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/21_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
11_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	11_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	11_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/11_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
03_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	03_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	03_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/03_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
31_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	31_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	31_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/31_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
16_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	16_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	16_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/16_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
40_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	40_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	40_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/40_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
26_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	26_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	26_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/26_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
