source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
34_TMT_pp	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	34_TMT_pp	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	34_TMT_pp.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/34_TMT_pp.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
36_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	36_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	36_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/36_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
15_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	15_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	15_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/15_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
01_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	01_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	01_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/01_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
29_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	29_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	29_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/29_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
24_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	24_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	24_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/24_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
37_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	37_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	37_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/37_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
20_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	20_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/20_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
27_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	27_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	27_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/27_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
18_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	18_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	18_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/18_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
12_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	12_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	12_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/12_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
19_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	19_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	19_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/19_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
10_TMT_PP	homo sapiens	Myometrial cell	not applicable	not available	enrichment of phosphorylated protein	1	10_TMT_PP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35.0% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	10_TMT_PP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD002538/10_TMT_PP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myometrial cell
