source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
CH12F3_ChIP-MS_SMC1_Rep2_1	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_SMC1_Rep2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_SMC1_Rep2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_Input_1	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_Input_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_Input_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_SMC1_Rep2_2	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_SMC1_Rep2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_SMC1_Rep2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_IgG_2	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_IgG_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_IgG_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_IgG_1	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_IgG_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_IgG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_SMC1_Rep1_2	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_SMC1_Rep1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_SMC1_Rep1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_SMC1_Rep1_3	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_SMC1_Rep1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_SMC1_Rep1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_SMC1_Rep2_3	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_SMC1_Rep2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_SMC1_Rep2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_Input_2	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_Input_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_Input_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
CH12F3_ChIP-MS_IgG_3	Mus musculus	Diploid cell	not available	not available	1	CH12F3_ChIP-MS_IgG_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	CH12F3_ChIP-MS_IgG_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Diploid cell
