source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[age]
12week-S2-A1	Mus musculus	not available	normal	adult	12W	male	not available	S2-A1	organism part	1	run diaPASEF_60SPD_12week_S2-A1_1_5176	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A1_1_5176.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A1	Mus musculus	not available	normal	adult	12W	male	not available	S2-A1	organism part	1	run diaPASEF_60SPD_12week_S2-A1_1_5343	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	diaPASEF_60SPD_12week_S2-A1_1_5343.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A2	Mus musculus	not available	normal	adult	12W	male	not available	S2-A2	organism part	1	run diaPASEF_60SPD_12week_S2-A2_1_5344	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A2_1_5344.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A3	Mus musculus	not available	normal	adult	12W	male	not available	S2-A3	organism part	1	run diaPASEF_60SPD_12week_S2-A3_1_5345	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A3_1_5345.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A4	Mus musculus	not available	normal	adult	12W	male	not available	S2-A4	organism part	1	run diaPASEF_60SPD_12week_S2-A4_1_5346	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A4_1_5346.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A5	Mus musculus	not available	normal	adult	12W	male	not available	S2-A5	organism part	1	run diaPASEF_60SPD_12week_S2-A5_1_5347	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A5_1_5347.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A6	Mus musculus	not available	normal	adult	12W	male	not available	S2-A6	organism part	1	run diaPASEF_60SPD_12week_S2-A6_1_5348	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A6_1_5348.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A7	Mus musculus	not available	normal	adult	12W	male	not available	S2-A7	organism part	1	run diaPASEF_60SPD_12week_S2-A7_1_5349	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A7_1_5349.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-A8	Mus musculus	not available	normal	adult	12W	male	not available	S2-A8	organism part	1	run diaPASEF_60SPD_12week_S2-A8_1_5350	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-A8_1_5350.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-B1	Mus musculus	not available	normal	adult	12W	male	not available	S2-B1	organism part	1	run diaPASEF_60SPD_12week_S2-B1_1_5351	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-B1_1_5351.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
