source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]
pool_sample_1_sample_2_sample_3_sample_4_sample_5	amblyomma sculptum	saliva	1	not pooled	normal	tissue	adult	not available	F-19656.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD007852/F-19656.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.6 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=NQ;PP=Anywhere	linear ion trap	2	8	400m/z-1600m/z
pool_sample_6_sample_7_sample_8_sample_9_sample_10	amblyomma sculptum	saliva	1	not pooled	normal	tissue	adult	not available	F-19657.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD007852/F-19657.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.6 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=NQ;PP=Anywhere	linear ion trap	2	8	400m/z-1600m/z
pool_sample_11_sample_12_sample_13_sample_14_sample_15	amblyomma sculptum	saliva	1	not pooled	normal	tissue	adult	not available	F-19658.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD007852/F-19658.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.6 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=NQ;PP=Anywhere	linear ion trap	2	8	400m/z-1600m/z
pool_sample_16_sample_17_sample_18_sample_19_sample_20	amblyomma sculptum	saliva	1	not pooled	normal	tissue	adult	not available	F-19659.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD007852/F-19659.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.6 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=NQ;PP=Anywhere	linear ion trap	2	8	400m/z-1600m/z
pool_sample_21_sample_22_sample_23_sample_24_sample_25	amblyomma sculptum	saliva	1	not pooled	normal	tissue	adult	not available	F-19660.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD007852/F-19660.raw	v3.0.0	ms-proteomics v1.1.0	invertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	collision-induced dissociation	35% NCE	10 ppm	0.6 Da	Dithiothreitol (DTT)	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=NQ;PP=Anywhere	linear ion trap	2	8	400m/z-1600m/z
