source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	1	1	Salt_Steps_2mM_AOFS_BR1_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	2	1	Salt_Steps_10mM_AOFS_BR1_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	3	1	Salt_Steps_20mM_AOFS_BR1_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	4	1	Salt_Steps_50mM_AOFS_BR1_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	5	1	Salt_Steps_100mM_AOFS_BR1_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	6	1	Salt_Steps_200mM_AOFS_BR1_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	7	1	Salt_Steps_500mM_AOFS_BR1_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SCX salt steps
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	2	Staph_UT_BR1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	unfractionated
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	1	3	HG001_AOFS_BR1_F1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	2	2	HG001_AOFS_BR1_F2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
